saved_at,run_id,lookback,entry_z,exit_z,stop_z,max_holding_days,trade_count,win_rate,total_pnl,avg_pnl,min_trades,start_date,end_date,param_grid
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.3,3.0,20,608,0.5921052631578947,24.61411184147487,0.04048373658137314,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.5,3.0,20,591,0.6074450084602369,24.45648962325044,0.04138153912563526,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.5,3.5,20,496,0.7036290322580645,24.257395604363836,0.048906039524927086,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.5,3.0,20,623,0.6003210272873194,23.86886626249956,0.03831278693820154,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.3,3.5,10,504,0.6825396825396826,21.945825914758405,0.04354330538642541,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.5,3.5,10,513,0.6842105263157895,21.290223931619796,0.04150141117274814,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.3,3.0,10,597,0.5979899497487438,21.0830081719522,0.03531492156105896,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.3,3.0,10,670,0.6074626865671642,20.949955335908065,0.03126859005359413,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.3,3.0,20,520,0.5980769230769231,20.889821666923417,0.04017273397485273,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.3,3.5,20,372,0.6532258064516129,20.699840402283293,0.0556447322642024,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
